gene_symbol,log2fc,pval,padj
RPRD1A,0.9170194,0.002262131789950082,0.012139201761462477
WLS,0.574172,0.00229074401271504,0.012282685786202103
CC2D2A,1.2655432,0.002292930154602362,0.012291055806922477
KCNK3,5.258847,0.0023005010842653195,0.012328278091802865
ART4,1.8478614,0.00230786923865203,0.012364393724898151
PPP1R13L,2.1485,0.0023090203468178697,0.012367190972250872
MLH3,0.88821316,0.0023264865800271353,0.012447177996324771
AL162231.1,2.1587236,0.002375648395817567,0.012692934445262228
TADA3,0.39530197,0.002389810054615734,0.012758198559287146
AL078639.1,2.715207,0.0024008884601238213,0.012813862351507757
WDR6,0.65293217,0.0024165878355362548,0.012890653831338535
C8orf34,4.4386353,0.00242376458486909,0.012925429690180647
PPIP5K2,0.6582781,0.002488851705897676,0.01324917669361058
SMOC1,4.075435,0.0025216793681166736,0.013418473541518278
CDC14B,1.5986148,0.0025236990356487556,0.01342558723996911
RXRB,0.7346124,0.00256308758879427,0.013620385992127821
INF2,1.0311075,0.002574063077119572,0.013675014380525543
UBE2B,0.12413395,0.0026704580536442424,0.01416034149157311
MXRA5,4.1952333,0.002675878705566052,0.01418170973434458
PPM1B,0.39743197,0.0026759303791281863,0.01418170973434458
SEPT8,1.0626346,0.0027530034230038906,0.014566618219349434
C1D,0.2891439,0.0027662107832553927,0.014628627331997721
ROR1,2.4199803,0.0027857282822983795,0.014727881012785892
WDR34,0.9711912,0.0027932694766827585,0.014763780766273226
CLUAP1,0.85483456,0.0028121905846332502,0.014843836583908449
KCNK6,0.8533525,0.002815666710584725,0.014858196152312628
WDR60,0.61188656,0.0028425386494876836,0.01498793106093506
MNAT1,0.46474317,0.0028526844084751255,0.015033363934451332
DCTN1,0.67478245,0.002939422875271777,0.015478021578359313
CNIH1,0.29996425,0.003073851694389338,0.01613833698667107
CXXC5,0.65242237,0.0031238625447849006,0.01638340500281694
GPR20,6.466651,0.003126095091633586,0.016390741784453218
KIAA1109,0.59831375,0.0031388932397607675,0.016453457446061373
AC090498.1,0.28888243,0.0031482609339260562,0.01649816270864982
ARMC10,0.6334688,0.003152069145955067,0.016513717971694254
MED7,0.75576615,0.003181354800606428,0.01666270593753958
ING4,0.5931563,0.003203770817946828,0.016771177269028364
MIER1,0.32561687,0.003233478400844549,0.016917682894466612
SS18,0.54088235,0.0032745711818248273,0.017128124122649576
HNRNPK,0.16244031,0.003276855051791384,0.017129488803910662
ZNF503,0.58033913,0.003277445675938964,0.017129488803910662
COL5A1,1.2689689,0.003282999171437612,0.017153954214405083
FBXO21,0.4766991,0.003289013435096265,0.017180813539017736
MRPL52,0.19823655,0.0032925237871693686,0.017190016649847085
VPS4A,0.43489563,0.003301025143448756,0.01722525381382416
RASL11A,1.9962133,0.0033154165315935876,0.017295760107241476
ERI3,0.5294771,0.003331805304947557,0.017376646128880336
ATP5J2,-0.036104627,0.0033503447181441426,0.017464071539806503
MYOM1,3.6382322,0.003352454518002071,0.0174704375120479
SNX21,0.61115247,0.003361064866249891,0.017509841602694233
ARL2BP,0.30731466,0.0033618442842862657,0.017509841602694233
C8orf33,0.47265062,0.00336268751356797,0.017509841602694233
SLC25A23,1.5068561,0.0034121835845868777,0.017753467488792588
MBNL2,0.4518979,0.003427857419512542,0.017816159815610785
MRPL23,0.24922,0.003432929027879465,0.01783780405554071
NNT-AS1,0.99766916,0.003436854888485946,0.017848769365401654
